 ;00A0;NO-BREAK SPACE;
ḇ;1E07;LATIN SMALL LETTER B WITH LINE BELOW;
Ḉ;1E08;LATIN CAPITAL LETTER C WITH CEDILLA AND ACUTE;
ḉ;1E09;LATIN SMALL LETTER C WITH CEDILLA AND ACUTE;
Ḋ;1E0A;LATIN CAPITAL LETTER D WITH DOT ABOVE;
ḋ;1E0B;LATIN SMALL LETTER D WITH DOT ABOVE;
Ḍ;1E0C;LATIN CAPITAL LETTER D WITH DOT BELOW;
ḍ;1E0D;LATIN SMALL LETTER D WITH DOT BELOW;
Ḏ;1E0E;LATIN CAPITAL LETTER D WITH LINE BELOW;
ḏ;1E0F;LATIN SMALL LETTER D WITH LINE BELOW;
Ḑ;1E10;LATIN CAPITAL LETTER D WITH CEDILLA;
ḑ;1E11;LATIN SMALL LETTER D WITH CEDILLA;
Ḓ;1E12;LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW;
ḓ;1E13;LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW;
Ḕ;1E14;LATIN CAPITAL LETTER E WITH MACRON AND GRAVE;
ḕ;1E15;LATIN SMALL LETTER E WITH MACRON AND GRAVE;
Ḗ;1E16;LATIN CAPITAL LETTER E WITH MACRON AND ACUTE;
ḗ;1E17;LATIN SMALL LETTER E WITH MACRON AND ACUTE;
Ḙ;1E18;LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW;
ḙ;1E19;LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW;
Ḛ;1E1A;LATIN CAPITAL LETTER E WITH TILDE BELOW;
ḛ;1E1B;LATIN SMALL LETTER E WITH TILDE BELOW;
Ḝ;1E1C;LATIN CAPITAL LETTER E WITH CEDILLA AND BREVE;
ḝ;1E1D;LATIN SMALL LETTER E WITH CEDILLA AND BREVE;
Ḟ;1E1E;LATIN CAPITAL LETTER F WITH DOT ABOVE;
ḟ;1E1F;LATIN SMALL LETTER F WITH DOT ABOVE;
Ḡ;1E20;LATIN CAPITAL LETTER G WITH MACRON;
ḡ;1E21;LATIN SMALL LETTER G WITH MACRON;
Ḣ;1E22;LATIN CAPITAL LETTER H WITH DOT ABOVE;
ḣ;1E23;LATIN SMALL LETTER H WITH DOT ABOVE;
Ḥ;1E24;LATIN CAPITAL LETTER H WITH DOT BELOW;
ḥ;1E25;LATIN SMALL LETTER H WITH DOT BELOW;
Ḧ;1E26;LATIN CAPITAL LETTER H WITH DIAERESIS;
ḧ;1E27;LATIN SMALL LETTER H WITH DIAERESIS;
Ḩ;1E28;LATIN CAPITAL LETTER H WITH CEDILLA;
ḩ;1E29;LATIN SMALL LETTER H WITH CEDILLA;
Ḫ;1E2A;LATIN CAPITAL LETTER H WITH BREVE BELOW;
ḫ;1E2B;LATIN SMALL LETTER H WITH BREVE BELOW;
Ḭ;1E2C;LATIN CAPITAL LETTER I WITH TILDE BELOW;
ḭ;1E2D;LATIN SMALL LETTER I WITH TILDE BELOW;
Ḯ;1E2E;LATIN CAPITAL LETTER I WITH DIAERESIS AND ACUTE;
ḯ;1E2F;LATIN SMALL LETTER I WITH DIAERESIS AND ACUTE;
Ḱ;1E30;LATIN CAPITAL LETTER K WITH ACUTE;
ḱ;1E31;LATIN SMALL LETTER K WITH ACUTE;
Ḳ;1E32;LATIN CAPITAL LETTER K WITH DOT BELOW;
ḳ;1E33;LATIN SMALL LETTER K WITH DOT BELOW;
Ḵ;1E34;LATIN CAPITAL LETTER K WITH LINE BELOW;
ḵ;1E35;LATIN SMALL LETTER K WITH LINE BELOW;
Ḷ;1E36;LATIN CAPITAL LETTER L WITH DOT BELOW;
ḷ;1E37;LATIN SMALL LETTER L WITH DOT BELOW;
Ḹ;1E38;LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON;
ḹ;1E39;LATIN SMALL LETTER L WITH DOT BELOW AND MACRON;
Ḻ;1E3A;LATIN CAPITAL LETTER L WITH LINE BELOW;
ḻ;1E3B;LATIN SMALL LETTER L WITH LINE BELOW;
Ḽ;1E3C;LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW;
ḽ;1E3D;LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW;
Ḿ;1E3E;LATIN CAPITAL LETTER M WITH ACUTE;
ḿ;1E3F;LATIN SMALL LETTER M WITH ACUTE;
Ṁ;1E40;LATIN CAPITAL LETTER M WITH DOT ABOVE;
ṁ;1E41;LATIN SMALL LETTER M WITH DOT ABOVE;
Ṃ;1E42;LATIN CAPITAL LETTER M WITH DOT BELOW;
ṃ;1E43;LATIN SMALL LETTER M WITH DOT BELOW;
Ṅ;1E44;LATIN CAPITAL LETTER N WITH DOT ABOVE;
ṅ;1E45;LATIN SMALL LETTER N WITH DOT ABOVE;
Ṇ;1E46;LATIN CAPITAL LETTER N WITH DOT BELOW;
ṇ;1E47;LATIN SMALL LETTER N WITH DOT BELOW;
Ṉ;1E48;LATIN CAPITAL LETTER N WITH LINE BELOW;
ṉ;1E49;LATIN SMALL LETTER N WITH LINE BELOW;
Ṋ;1E4A;LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW;
ṋ;1E4B;LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW;
Ṍ;1E4C;LATIN CAPITAL LETTER O WITH TILDE AND ACUTE;
ṍ;1E4D;LATIN SMALL LETTER O WITH TILDE AND ACUTE;
Ṏ;1E4E;LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS;
ṏ;1E4F;LATIN SMALL LETTER O WITH TILDE AND DIAERESIS;
Ṑ;1E50;LATIN CAPITAL LETTER O WITH MACRON AND GRAVE;
ṑ;1E51;LATIN SMALL LETTER O WITH MACRON AND GRAVE;
Ṓ;1E52;LATIN CAPITAL LETTER O WITH MACRON AND ACUTE;
ṓ;1E53;LATIN SMALL LETTER O WITH MACRON AND ACUTE;
Ṕ;1E54;LATIN CAPITAL LETTER P WITH ACUTE;
ṕ;1E55;LATIN SMALL LETTER P WITH ACUTE;
Ṗ;1E56;LATIN CAPITAL LETTER P WITH DOT ABOVE;
ṗ;1E57;LATIN SMALL LETTER P WITH DOT ABOVE;
Ṙ;1E58;LATIN CAPITAL LETTER R WITH DOT ABOVE;
ṙ;1E59;LATIN SMALL LETTER R WITH DOT ABOVE;
Ṛ;1E5A;LATIN CAPITAL LETTER R WITH DOT BELOW;
ṛ;1E5B;LATIN SMALL LETTER R WITH DOT BELOW;
Ṝ;1E5C;LATIN CAPITAL LETTER R WITH DOT BELOW AND MACRON;
ṝ;1E5D;LATIN SMALL LETTER R WITH DOT BELOW AND MACRON;
Ṟ;1E5E;LATIN CAPITAL LETTER R WITH LINE BELOW;
ṟ;1E5F;LATIN SMALL LETTER R WITH LINE BELOW;
Ṡ;1E60;LATIN CAPITAL LETTER S WITH DOT ABOVE;
ṡ;1E61;LATIN SMALL LETTER S WITH DOT ABOVE;
Ṣ;1E62;LATIN CAPITAL LETTER S WITH DOT BELOW;
ṣ;1E63;LATIN SMALL LETTER S WITH DOT BELOW;
Ṥ;1E64;LATIN CAPITAL LETTER S WITH ACUTE AND DOT ABOVE;
ṥ;1E65;LATIN SMALL LETTER S WITH ACUTE AND DOT ABOVE;
Ṧ;1E66;LATIN CAPITAL LETTER S WITH CARON AND DOT ABOVE;
ṧ;1E67;LATIN SMALL LETTER S WITH CARON AND DOT ABOVE;
Ṩ;1E68;LATIN CAPITAL LETTER S WITH DOT BELOW AND DOT ABOVE;
ṩ;1E69;LATIN SMALL LETTER S WITH DOT BELOW AND DOT ABOVE;
Ṫ;1E6A;LATIN CAPITAL LETTER T WITH DOT ABOVE;
ṫ;1E6B;LATIN SMALL LETTER T WITH DOT ABOVE;
Ṭ;1E6C;LATIN CAPITAL LETTER T WITH DOT BELOW;
ṭ;1E6D;LATIN SMALL LETTER T WITH DOT BELOW;
Ṯ;1E6E;LATIN CAPITAL LETTER T WITH LINE BELOW;
ṯ;1E6F;LATIN SMALL LETTER T WITH LINE BELOW;
Ṱ;1E70;LATIN CAPITAL LETTER T WITH CIRCUMFLEX BELOW;
ṱ;1E71;LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW;
Ṳ;1E72;LATIN CAPITAL LETTER U WITH DIAERESIS BELOW;
ṳ;1E73;LATIN SMALL LETTER U WITH DIAERESIS BELOW;
Ṵ;1E74;LATIN CAPITAL LETTER U WITH TILDE BELOW;
ṵ;1E75;LATIN SMALL LETTER U WITH TILDE BELOW;
Ṷ;1E76;LATIN CAPITAL LETTER U WITH CIRCUMFLEX BELOW;
ṷ;1E77;LATIN SMALL LETTER U WITH CIRCUMFLEX BELOW;
Ṹ;1E78;LATIN CAPITAL LETTER U WITH TILDE AND ACUTE;
ṹ;1E79;LATIN SMALL LETTER U WITH TILDE AND ACUTE;
Ṻ;1E7A;LATIN CAPITAL LETTER U WITH MACRON AND DIAERESIS;
ṻ;1E7B;LATIN SMALL LETTER U WITH MACRON AND DIAERESIS;
Ṽ;1E7C;LATIN CAPITAL LETTER V WITH TILDE;
ṽ;1E7D;LATIN SMALL LETTER V WITH TILDE;
Ṿ;1E7E;LATIN CAPITAL LETTER V WITH DOT BELOW;
ṿ;1E7F;LATIN SMALL LETTER V WITH DOT BELOW;
Ẁ;1E80;LATIN CAPITAL LETTER W WITH GRAVE;
ẁ;1E81;LATIN SMALL LETTER W WITH GRAVE;
Ẃ;1E82;LATIN CAPITAL LETTER W WITH ACUTE;
ẃ;1E83;LATIN SMALL LETTER W WITH ACUTE;
Ẅ;1E84;LATIN CAPITAL LETTER W WITH DIAERESIS;
ẅ;1E85;LATIN SMALL LETTER W WITH DIAERESIS;
Ẇ;1E86;LATIN CAPITAL LETTER W WITH DOT ABOVE;
ẇ;1E87;LATIN SMALL LETTER W WITH DOT ABOVE;
Ẉ;1E88;LATIN CAPITAL LETTER W WITH DOT BELOW;
ẉ;1E89;LATIN SMALL LETTER W WITH DOT BELOW;
Ẋ;1E8A;LATIN CAPITAL LETTER X WITH DOT ABOVE;
ẋ;1E8B;LATIN SMALL LETTER X WITH DOT ABOVE;
Ẍ;1E8C;LATIN CAPITAL LETTER X WITH DIAERESIS;
ẍ;1E8D;LATIN SMALL LETTER X WITH DIAERESIS;
Ẏ;1E8E;LATIN CAPITAL LETTER Y WITH DOT ABOVE;
ẏ;1E8F;LATIN SMALL LETTER Y WITH DOT ABOVE;
Ẑ;1E90;LATIN CAPITAL LETTER Z WITH CIRCUMFLEX;
ẑ;1E91;LATIN SMALL LETTER Z WITH CIRCUMFLEX;
Ẓ;1E92;LATIN CAPITAL LETTER Z WITH DOT BELOW;
ẓ;1E93;LATIN SMALL LETTER Z WITH DOT BELOW;
Ẕ;1E94;LATIN CAPITAL LETTER Z WITH LINE BELOW;
ẕ;1E95;LATIN SMALL LETTER Z WITH LINE BELOW;
ẖ;1E96;LATIN SMALL LETTER H WITH LINE BELOW;
ẗ;1E97;LATIN SMALL LETTER T WITH DIAERESIS;
ẘ;1E98;LATIN SMALL LETTER W WITH RING ABOVE;
ẙ;1E99;LATIN SMALL LETTER Y WITH RING ABOVE;
ẚ;1E9A;LATIN SMALL LETTER A WITH RIGHT HALF RING;
ẛ;1E9B;LATIN SMALL LETTER LONG S WITH DOT ABOVE;
ẜ;1E9C;LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE;
ẝ;1E9D;LATIN SMALL LETTER LONG S WITH HIGH STROKE;
ẞ;1E9E;LATIN CAPITAL LETTER SHARP S;
ẟ;1E9F;LATIN SMALL LETTER DELTA;
Ạ;1EA0;LATIN CAPITAL LETTER A WITH DOT BELOW;
ạ;1EA1;LATIN SMALL LETTER A WITH DOT BELOW;
Ả;1EA2;LATIN CAPITAL LETTER A WITH HOOK ABOVE;
ả;1EA3;LATIN SMALL LETTER A WITH HOOK ABOVE;
Ấ;1EA4;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND ACUTE;
ấ;1EA5;LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE;
Ầ;1EA6;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND GRAVE;
ầ;1EA7;LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE;
Ẩ;1EA8;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE;
ẩ;1EA9;LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE;
Ẫ;1EAA;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND TILDE;
ẫ;1EAB;LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE;
Ậ;1EAC;LATIN CAPITAL LETTER A WITH CIRCUMFLEX AND DOT BELOW;
ậ;1EAD;LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW;
Ắ;1EAE;LATIN CAPITAL LETTER A WITH BREVE AND ACUTE;
ắ;1EAF;LATIN SMALL LETTER A WITH BREVE AND ACUTE;
Ằ;1EB0;LATIN CAPITAL LETTER A WITH BREVE AND GRAVE;
ằ;1EB1;LATIN SMALL LETTER A WITH BREVE AND GRAVE;
Ẳ;1EB2;LATIN CAPITAL LETTER A WITH BREVE AND HOOK ABOVE;
ẳ;1EB3;LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE;
Ẵ;1EB4;LATIN CAPITAL LETTER A WITH BREVE AND TILDE;
ẵ;1EB5;LATIN SMALL LETTER A WITH BREVE AND TILDE;
Ặ;1EB6;LATIN CAPITAL LETTER A WITH BREVE AND DOT BELOW;
ặ;1EB7;LATIN SMALL LETTER A WITH BREVE AND DOT BELOW;
Ẹ;1EB8;LATIN CAPITAL LETTER E WITH DOT BELOW;
ẹ;1EB9;LATIN SMALL LETTER E WITH DOT BELOW;
Ẻ;1EBA;LATIN CAPITAL LETTER E WITH HOOK ABOVE;
ẻ;1EBB;LATIN SMALL LETTER E WITH HOOK ABOVE;
Ẽ;1EBC;LATIN CAPITAL LETTER E WITH TILDE;
ẽ;1EBD;LATIN SMALL LETTER E WITH TILDE;
Ế;1EBE;LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE;
ế;1EBF;LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE;
Ề;1EC0;LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE;
ề;1EC1;LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE;
Ể;1EC2;LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE;
ể;1EC3;LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE;
Ễ;1EC4;LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND TILDE;
ễ;1EC5;LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE;
Ệ;1EC6;LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND DOT BELOW;
ệ;1EC7;LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW;
Ỉ;1EC8;LATIN CAPITAL LETTER I WITH HOOK ABOVE;
ỉ;1EC9;LATIN SMALL LETTER I WITH HOOK ABOVE;
Ị;1ECA;LATIN CAPITAL LETTER I WITH DOT BELOW;
ị;1ECB;LATIN SMALL LETTER I WITH DOT BELOW;
Ọ;1ECC;LATIN CAPITAL LETTER O WITH DOT BELOW;
ọ;1ECD;LATIN SMALL LETTER O WITH DOT BELOW;
Ỏ;1ECE;LATIN CAPITAL LETTER O WITH HOOK ABOVE;
ỏ;1ECF;LATIN SMALL LETTER O WITH HOOK ABOVE;
Ố;1ED0;LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE;
ố;1ED1;LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE;
Ồ;1ED2;LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE;
ồ;1ED3;LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE;
Ổ;1ED4;LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE;
ổ;1ED5;LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE;
Ỗ;1ED6;LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE;
ỗ;1ED7;LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE;
Ộ;1ED8;LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW;
ộ;1ED9;LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW;
Ớ;1EDA;LATIN CAPITAL LETTER O WITH HORN AND ACUTE;
ớ;1EDB;LATIN SMALL LETTER O WITH HORN AND ACUTE;
Ờ;1EDC;LATIN CAPITAL LETTER O WITH HORN AND GRAVE;
ờ;1EDD;LATIN SMALL LETTER O WITH HORN AND GRAVE;
Ở;1EDE;LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE;
ở;1EDF;LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE;
Ỡ;1EE0;LATIN CAPITAL LETTER O WITH HORN AND TILDE;
ỡ;1EE1;LATIN SMALL LETTER O WITH HORN AND TILDE;
Ợ;1EE2;LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW;
ợ;1EE3;LATIN SMALL LETTER O WITH HORN AND DOT BELOW;
Ụ;1EE4;LATIN CAPITAL LETTER U WITH DOT BELOW;
ụ;1EE5;LATIN SMALL LETTER U WITH DOT BELOW;
Ủ;1EE6;LATIN CAPITAL LETTER U WITH HOOK ABOVE;
ủ;1EE7;LATIN SMALL LETTER U WITH HOOK ABOVE;
Ứ;1EE8;LATIN CAPITAL LETTER U WITH HORN AND ACUTE;
ứ;1EE9;LATIN SMALL LETTER U WITH HORN AND ACUTE;
Ừ;1EEA;LATIN CAPITAL LETTER U WITH HORN AND GRAVE;
ừ;1EEB;LATIN SMALL LETTER U WITH HORN AND GRAVE;
Ử;1EEC;LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE;
ử;1EED;LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE;
Ữ;1EEE;LATIN CAPITAL LETTER U WITH HORN AND TILDE;
ữ;1EEF;LATIN SMALL LETTER U WITH HORN AND TILDE;
Ự;1EF0;LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW;
ự;1EF1;LATIN SMALL LETTER U WITH HORN AND DOT BELOW;
Ỳ;1EF2;LATIN CAPITAL LETTER Y WITH GRAVE;
ỳ;1EF3;LATIN SMALL LETTER Y WITH GRAVE;
Ỵ;1EF4;LATIN CAPITAL LETTER Y WITH DOT BELOW;
ỵ;1EF5;LATIN SMALL LETTER Y WITH DOT BELOW;
Ỷ;1EF6;LATIN CAPITAL LETTER Y WITH HOOK ABOVE;
ỷ;1EF7;LATIN SMALL LETTER Y WITH HOOK ABOVE;
Ỹ;1EF8;LATIN CAPITAL LETTER Y WITH TILDE;
ỹ;1EF9;LATIN SMALL LETTER Y WITH TILDE;
Ỻ;1EFA;LATIN CAPITAL LETTER MIDDLE-WELSH LL;
ỻ;1EFB;LATIN SMALL LETTER MIDDLE-WELSH LL;
Ỽ;1EFC;LATIN CAPITAL LETTER MIDDLE-WELSH V;
ỽ;1EFD;LATIN SMALL LETTER MIDDLE-WELSH V;
Ỿ;1EFE;LATIN CAPITAL LETTER Y WITH LOOP;
ỿ;1EFF;LATIN SMALL LETTER Y WITH LOOP;
Ⱡ;2C60;LATIN CAPITAL LETTER L WITH DOUBLE BAR;
ⱡ;2C61;LATIN SMALL LETTER L WITH DOUBLE BAR;
Ɫ;2C62;LATIN CAPITAL LETTER L WITH MIDDLE TILDE;
Ᵽ;2C63;LATIN CAPITAL LETTER P WITH STROKE;
Ɽ;2C64;LATIN CAPITAL LETTER R WITH TAIL;
ⱥ;2C65;LATIN SMALL LETTER A WITH STROKE;
ⱦ;2C66;LATIN SMALL LETTER T WITH DIAGONAL STROKE;
Ⱨ;2C67;LATIN CAPITAL LETTER H WITH DESCENDER;
ⱨ;2C68;LATIN SMALL LETTER H WITH DESCENDER;
Ⱪ;2C69;LATIN CAPITAL LETTER K WITH DESCENDER;
ⱪ;2C6A;LATIN SMALL LETTER K WITH DESCENDER;
Ⱬ;2C6B;LATIN CAPITAL LETTER Z WITH DESCENDER;
ⱬ;2C6C;LATIN SMALL LETTER Z WITH DESCENDER;
Ɑ;2C6D;LATIN CAPITAL LETTER ALPHA;
Ɱ;2C6E;LATIN CAPITAL LETTER M WITH HOOK;
Ɐ;2C6F;LATIN CAPITAL LETTER TURNED A;
Ɒ;2C70;LATIN CAPITAL LETTER TURNED ALPHA;
ⱱ;2C71;LATIN SMALL LETTER V WITH RIGHT HOOK;
Ⱳ;2C72;LATIN CAPITAL LETTER W WITH HOOK;
ⱳ;2C73;LATIN SMALL LETTER W WITH HOOK;
ⱴ;2C74;LATIN SMALL LETTER V WITH CURL;
Ⱶ;2C75;LATIN CAPITAL LETTER HALF H;
ⱶ;2C76;LATIN SMALL LETTER HALF H;
ⱷ;2C77;LATIN SMALL LETTER TAILLESS PHI;
ⱸ;2C78;LATIN SMALL LETTER E WITH NOTCH;
ⱹ;2C79;LATIN SMALL LETTER TURNED R WITH TAIL;
ⱺ;2C7A;LATIN SMALL LETTER O WITH LOW RING INSIDE;
ⱻ;2C7B;LATIN LETTER SMALL CAPITAL TURNED E;
ⱼ;2C7C;LATIN SUBSCRIPT SMALL LETTER J;
ⱽ;2C7D;MODIFIER LETTER CAPITAL V;
Ȿ;2C7E;LATIN CAPITAL LETTER S WITH SWASH TAIL;
Ɀ;2C7F;LATIN CAPITAL LETTER Z WITH SWASH TAIL;
