𒀀;12000;CUNEIFORM SIGN A;
𒆴;121B4;CUNEIFORM SIGN KUR OPPOSING KUR;
𒆵;121B5;CUNEIFORM SIGN KUSHU2;
𒆶;121B6;CUNEIFORM SIGN KWU318;
𒆷;121B7;CUNEIFORM SIGN LA;
𒆸;121B8;CUNEIFORM SIGN LAGAB;
𒆹;121B9;CUNEIFORM SIGN LAGAB TIMES A;
𒆺;121BA;CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA;
𒆻;121BB;CUNEIFORM SIGN LAGAB TIMES A PLUS GAR;
𒆼;121BC;CUNEIFORM SIGN LAGAB TIMES A PLUS LAL;
𒆽;121BD;CUNEIFORM SIGN LAGAB TIMES AL;
𒆾;121BE;CUNEIFORM SIGN LAGAB TIMES AN;
𒆿;121BF;CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU;
𒇀;121C0;CUNEIFORM SIGN LAGAB TIMES BAD;
𒇁;121C1;CUNEIFORM SIGN LAGAB TIMES BI;
𒇂;121C2;CUNEIFORM SIGN LAGAB TIMES DAR;
𒇃;121C3;CUNEIFORM SIGN LAGAB TIMES EN;
𒇄;121C4;CUNEIFORM SIGN LAGAB TIMES GA;
𒇅;121C5;CUNEIFORM SIGN LAGAB TIMES GAR;
𒇆;121C6;CUNEIFORM SIGN LAGAB TIMES GUD;
𒇇;121C7;CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD;
𒇈;121C8;CUNEIFORM SIGN LAGAB TIMES HA;
𒇉;121C9;CUNEIFORM SIGN LAGAB TIMES HAL;
𒇊;121CA;CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN;
𒇋;121CB;CUNEIFORM SIGN LAGAB TIMES IGI GUNU;
𒇌;121CC;CUNEIFORM SIGN LAGAB TIMES IM;
𒇍;121CD;CUNEIFORM SIGN LAGAB TIMES IM PLUS HA;
𒇎;121CE;CUNEIFORM SIGN LAGAB TIMES IM PLUS LU;
𒇏;121CF;CUNEIFORM SIGN LAGAB TIMES KI;
𒇐;121D0;CUNEIFORM SIGN LAGAB TIMES KIN;
𒇑;121D1;CUNEIFORM SIGN LAGAB TIMES KU3;
𒇒;121D2;CUNEIFORM SIGN LAGAB TIMES KUL;
𒇓;121D3;CUNEIFORM SIGN LAGAB TIMES KUL PLUS HI PLUS A;
𒇔;121D4;CUNEIFORM SIGN LAGAB TIMES LAGAB;
𒇕;121D5;CUNEIFORM SIGN LAGAB TIMES LISH;
𒇖;121D6;CUNEIFORM SIGN LAGAB TIMES LU;
𒇗;121D7;CUNEIFORM SIGN LAGAB TIMES LUL;
𒇘;121D8;CUNEIFORM SIGN LAGAB TIMES ME;
𒇙;121D9;CUNEIFORM SIGN LAGAB TIMES ME PLUS EN;
𒇚;121DA;CUNEIFORM SIGN LAGAB TIMES MUSH;
𒇛;121DB;CUNEIFORM SIGN LAGAB TIMES NE;
𒇜;121DC;CUNEIFORM SIGN LAGAB TIMES SHE PLUS SUM;
𒇝;121DD;CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH PLUS ERIN2;
𒇞;121DE;CUNEIFORM SIGN LAGAB TIMES SHITA PLUS GISH TENU;
𒇟;121DF;CUNEIFORM SIGN LAGAB TIMES SHU2;
𒇠;121E0;CUNEIFORM SIGN LAGAB TIMES SHU2 PLUS SHU2;
𒇡;121E1;CUNEIFORM SIGN LAGAB TIMES SUM;
𒇢;121E2;CUNEIFORM SIGN LAGAB TIMES TAG;
𒇣;121E3;CUNEIFORM SIGN LAGAB TIMES TAK4;
𒇤;121E4;CUNEIFORM SIGN LAGAB TIMES TE PLUS A PLUS SU PLUS NA;
𒇥;121E5;CUNEIFORM SIGN LAGAB TIMES U;
𒇦;121E6;CUNEIFORM SIGN LAGAB TIMES U PLUS A;
𒇧;121E7;CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U;
𒇨;121E8;CUNEIFORM SIGN LAGAB TIMES U2 PLUS ASH;
𒇩;121E9;CUNEIFORM SIGN LAGAB TIMES UD;
𒇪;121EA;CUNEIFORM SIGN LAGAB TIMES USH;
𒇫;121EB;CUNEIFORM SIGN LAGAB SQUARED;
𒇬;121EC;CUNEIFORM SIGN LAGAR;
𒇭;121ED;CUNEIFORM SIGN LAGAR TIMES SHE;
𒇮;121EE;CUNEIFORM SIGN LAGAR TIMES SHE PLUS SUM;
𒇯;121EF;CUNEIFORM SIGN LAGAR GUNU;
𒇰;121F0;CUNEIFORM SIGN LAGAR GUNU OVER LAGAR GUNU SHE;
𒇱;121F1;CUNEIFORM SIGN LAHSHU;
𒇲;121F2;CUNEIFORM SIGN LAL;
𒇳;121F3;CUNEIFORM SIGN LAL TIMES LAL;
𒇴;121F4;CUNEIFORM SIGN LAM;
𒇵;121F5;CUNEIFORM SIGN LAM TIMES KUR;
𒇶;121F6;CUNEIFORM SIGN LAM TIMES KUR PLUS RU;
𒇷;121F7;CUNEIFORM SIGN LI;
𒇸;121F8;CUNEIFORM SIGN LIL;
𒇹;121F9;CUNEIFORM SIGN LIMMU2;
𒇺;121FA;CUNEIFORM SIGN LISH;
𒇻;121FB;CUNEIFORM SIGN LU;
𒇼;121FC;CUNEIFORM SIGN LU TIMES BAD;
𒇽;121FD;CUNEIFORM SIGN LU2;
𒇾;121FE;CUNEIFORM SIGN LU2 TIMES AL;
𒇿;121FF;CUNEIFORM SIGN LU2 TIMES BAD;
𒈀;12200;CUNEIFORM SIGN LU2 TIMES ESH2;
𒈁;12201;CUNEIFORM SIGN LU2 TIMES ESH2 TENU;
𒈂;12202;CUNEIFORM SIGN LU2 TIMES GAN2 TENU;
𒈃;12203;CUNEIFORM SIGN LU2 TIMES HI TIMES BAD;
𒈄;12204;CUNEIFORM SIGN LU2 TIMES IM;
𒈅;12205;CUNEIFORM SIGN LU2 TIMES KAD2;
𒈆;12206;CUNEIFORM SIGN LU2 TIMES KAD3;
𒈇;12207;CUNEIFORM SIGN LU2 TIMES KAD3 PLUS ASH;
𒈈;12208;CUNEIFORM SIGN LU2 TIMES KI;
𒈉;12209;CUNEIFORM SIGN LU2 TIMES LA PLUS ASH;
𒈊;1220A;CUNEIFORM SIGN LU2 TIMES LAGAB;
𒈋;1220B;CUNEIFORM SIGN LU2 TIMES ME PLUS EN;
𒈌;1220C;CUNEIFORM SIGN LU2 TIMES NE;
𒈍;1220D;CUNEIFORM SIGN LU2 TIMES NU;
𒈎;1220E;CUNEIFORM SIGN LU2 TIMES SI PLUS ASH;
𒈏;1220F;CUNEIFORM SIGN LU2 TIMES SIK2 PLUS BU;
𒈐;12210;CUNEIFORM SIGN LU2 TIMES TUG2;
𒈑;12211;CUNEIFORM SIGN LU2 TENU;
𒈒;12212;CUNEIFORM SIGN LU2 CROSSING LU2;
𒈓;12213;CUNEIFORM SIGN LU2 OPPOSING LU2;
𒈔;12214;CUNEIFORM SIGN LU2 SQUARED;
𒈕;12215;CUNEIFORM SIGN LU2 SHESHIG;
𒈖;12216;CUNEIFORM SIGN LU3;
𒈗;12217;CUNEIFORM SIGN LUGAL;
𒈘;12218;CUNEIFORM SIGN LUGAL OVER LUGAL;
𒈙;12219;CUNEIFORM SIGN LUGAL OPPOSING LUGAL;
𒈚;1221A;CUNEIFORM SIGN LUGAL SHESHIG;
𒈛;1221B;CUNEIFORM SIGN LUH;
𒈜;1221C;CUNEIFORM SIGN LUL;
𒈝;1221D;CUNEIFORM SIGN LUM;
𒈞;1221E;CUNEIFORM SIGN LUM OVER LUM;
𒈟;1221F;CUNEIFORM SIGN LUM OVER LUM GAR OVER GAR;
𒈠;12220;CUNEIFORM SIGN MA;
𒈡;12221;CUNEIFORM SIGN MA TIMES TAK4;
𒈢;12222;CUNEIFORM SIGN MA GUNU;
𒈣;12223;CUNEIFORM SIGN MA2;
𒈤;12224;CUNEIFORM SIGN MAH;
𒈥;12225;CUNEIFORM SIGN MAR;
𒈦;12226;CUNEIFORM SIGN MASH;
𒈧;12227;CUNEIFORM SIGN MASH2;
𒈨;12228;CUNEIFORM SIGN ME;
𒈩;12229;CUNEIFORM SIGN MES;
𒈪;1222A;CUNEIFORM SIGN MI;
𒈫;1222B;CUNEIFORM SIGN MIN;
𒈬;1222C;CUNEIFORM SIGN MU;
𒈭;1222D;CUNEIFORM SIGN MU OVER MU;
𒈮;1222E;CUNEIFORM SIGN MUG;
𒈯;1222F;CUNEIFORM SIGN MUG GUNU;
𒈰;12230;CUNEIFORM SIGN MUNSUB;
𒈱;12231;CUNEIFORM SIGN MURGU2;
𒈲;12232;CUNEIFORM SIGN MUSH;
𒈳;12233;CUNEIFORM SIGN MUSH TIMES A;
𒈴;12234;CUNEIFORM SIGN MUSH TIMES KUR;
𒈵;12235;CUNEIFORM SIGN MUSH TIMES ZA;
𒈶;12236;CUNEIFORM SIGN MUSH OVER MUSH;
𒈷;12237;CUNEIFORM SIGN MUSH OVER MUSH TIMES A PLUS NA;
𒈸;12238;CUNEIFORM SIGN MUSH CROSSING MUSH;
𒈹;12239;CUNEIFORM SIGN MUSH3;
𒈺;1223A;CUNEIFORM SIGN MUSH3 TIMES A;
𒈻;1223B;CUNEIFORM SIGN MUSH3 TIMES A PLUS DI;
𒈼;1223C;CUNEIFORM SIGN MUSH3 TIMES DI;
𒈽;1223D;CUNEIFORM SIGN MUSH3 GUNU;
𒈾;1223E;CUNEIFORM SIGN NA;
𒈿;1223F;CUNEIFORM SIGN NA2;
𒉀;12240;CUNEIFORM SIGN NAGA;
𒉁;12241;CUNEIFORM SIGN NAGA INVERTED;
𒉂;12242;CUNEIFORM SIGN NAGA TIMES SHU TENU;
𒉃;12243;CUNEIFORM SIGN NAGA OPPOSING NAGA;
𒉄;12244;CUNEIFORM SIGN NAGAR;
𒉅;12245;CUNEIFORM SIGN NAM NUTILLU;
𒉆;12246;CUNEIFORM SIGN NAM;
𒉇;12247;CUNEIFORM SIGN NAM2;
𒉈;12248;CUNEIFORM SIGN NE;
𒉉;12249;CUNEIFORM SIGN NE TIMES A;
𒉊;1224A;CUNEIFORM SIGN NE TIMES UD;
𒉋;1224B;CUNEIFORM SIGN NE SHESHIG;
𒉌;1224C;CUNEIFORM SIGN NI;
𒉍;1224D;CUNEIFORM SIGN NI TIMES E;
𒉎;1224E;CUNEIFORM SIGN NI2;
𒉏;1224F;CUNEIFORM SIGN NIM;
𒉐;12250;CUNEIFORM SIGN NIM TIMES GAN2 TENU;
𒉑;12251;CUNEIFORM SIGN NIM TIMES GAR PLUS GAN2 TENU;
𒉒;12252;CUNEIFORM SIGN NINDA2;
𒉓;12253;CUNEIFORM SIGN NINDA2 TIMES AN;
𒉔;12254;CUNEIFORM SIGN NINDA2 TIMES ASH;
𒉕;12255;CUNEIFORM SIGN NINDA2 TIMES ASH PLUS ASH;
𒉖;12256;CUNEIFORM SIGN NINDA2 TIMES GUD;
𒉗;12257;CUNEIFORM SIGN NINDA2 TIMES ME PLUS GAN2 TENU;
𒉘;12258;CUNEIFORM SIGN NINDA2 TIMES NE;
𒉙;12259;CUNEIFORM SIGN NINDA2 TIMES NUN;
𒉚;1225A;CUNEIFORM SIGN NINDA2 TIMES SHE;
𒉛;1225B;CUNEIFORM SIGN NINDA2 TIMES SHE PLUS A AN;
𒉜;1225C;CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH;
𒉝;1225D;CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH PLUS ASH;
𒉞;1225E;CUNEIFORM SIGN NINDA2 TIMES U2 PLUS ASH;
𒉟;1225F;CUNEIFORM SIGN NINDA2 TIMES USH;
𒉠;12260;CUNEIFORM SIGN NISAG;
𒉡;12261;CUNEIFORM SIGN NU;
𒉢;12262;CUNEIFORM SIGN NU11;
𒉣;12263;CUNEIFORM SIGN NUN;
𒉤;12264;CUNEIFORM SIGN NUN LAGAR TIMES GAR;
𒉥;12265;CUNEIFORM SIGN NUN LAGAR TIMES MASH;
𒉦;12266;CUNEIFORM SIGN NUN LAGAR TIMES SAL;
𒉧;12267;CUNEIFORM SIGN NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL;
𒉨;12268;CUNEIFORM SIGN NUN LAGAR TIMES USH;
𒉩;12269;CUNEIFORM SIGN NUN TENU;
𒉪;1226A;CUNEIFORM SIGN NUN OVER NUN;
𒉫;1226B;CUNEIFORM SIGN NUN CROSSING NUN;
𒉬;1226C;CUNEIFORM SIGN NUN CROSSING NUN LAGAR OVER LAGAR;
𒉭;1226D;CUNEIFORM SIGN NUNUZ;
𒉮;1226E;CUNEIFORM SIGN NUNUZ AB2 TIMES ASHGAB;
𒉯;1226F;CUNEIFORM SIGN NUNUZ AB2 TIMES BI;
𒉰;12270;CUNEIFORM SIGN NUNUZ AB2 TIMES DUG;
𒉱;12271;CUNEIFORM SIGN NUNUZ AB2 TIMES GUD;
𒉲;12272;CUNEIFORM SIGN NUNUZ AB2 TIMES IGI GUNU;
𒉳;12273;CUNEIFORM SIGN NUNUZ AB2 TIMES KAD3;
𒉴;12274;CUNEIFORM SIGN NUNUZ AB2 TIMES LA;
𒉵;12275;CUNEIFORM SIGN NUNUZ AB2 TIMES NE;
𒉶;12276;CUNEIFORM SIGN NUNUZ AB2 TIMES SILA3;
𒉷;12277;CUNEIFORM SIGN NUNUZ AB2 TIMES U2;
𒉸;12278;CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI;
𒉹;12279;CUNEIFORM SIGN NUNUZ KISIM5 TIMES BI U;
𒉺;1227A;CUNEIFORM SIGN PA;
𒉻;1227B;CUNEIFORM SIGN PAD;
𒉼;1227C;CUNEIFORM SIGN PAN;
𒉽;1227D;CUNEIFORM SIGN PAP;
𒉾;1227E;CUNEIFORM SIGN PESH2;
𒉿;1227F;CUNEIFORM SIGN PI;
𒊀;12280;CUNEIFORM SIGN PI TIMES A;
𒊁;12281;CUNEIFORM SIGN PI TIMES AB;
𒊂;12282;CUNEIFORM SIGN PI TIMES BI;
𒊃;12283;CUNEIFORM SIGN PI TIMES BU;
𒊄;12284;CUNEIFORM SIGN PI TIMES E;
𒊅;12285;CUNEIFORM SIGN PI TIMES I;
𒊆;12286;CUNEIFORM SIGN PI TIMES IB;
𒊇;12287;CUNEIFORM SIGN PI TIMES U;
𒊈;12288;CUNEIFORM SIGN PI TIMES U2;
𒊉;12289;CUNEIFORM SIGN PI CROSSING PI;
𒊊;1228A;CUNEIFORM SIGN PIRIG;
𒊋;1228B;CUNEIFORM SIGN PIRIG TIMES KAL;
𒊌;1228C;CUNEIFORM SIGN PIRIG TIMES UD;
𒊍;1228D;CUNEIFORM SIGN PIRIG TIMES ZA;
𒊎;1228E;CUNEIFORM SIGN PIRIG OPPOSING PIRIG;
𒊏;1228F;CUNEIFORM SIGN RA;
𒊐;12290;CUNEIFORM SIGN RAB;
𒊑;12291;CUNEIFORM SIGN RI;
𒊒;12292;CUNEIFORM SIGN RU;
𒊓;12293;CUNEIFORM SIGN SA;
𒊔;12294;CUNEIFORM SIGN SAG NUTILLU;
𒊕;12295;CUNEIFORM SIGN SAG;
𒊖;12296;CUNEIFORM SIGN SAG TIMES A;
𒊗;12297;CUNEIFORM SIGN SAG TIMES DU;
𒊘;12298;CUNEIFORM SIGN SAG TIMES DUB;
𒊙;12299;CUNEIFORM SIGN SAG TIMES HA;
𒊚;1229A;CUNEIFORM SIGN SAG TIMES KAK;
𒊛;1229B;CUNEIFORM SIGN SAG TIMES KUR;
𒊜;1229C;CUNEIFORM SIGN SAG TIMES LUM;
𒊝;1229D;CUNEIFORM SIGN SAG TIMES MI;
𒊞;1229E;CUNEIFORM SIGN SAG TIMES NUN;
𒊟;1229F;CUNEIFORM SIGN SAG TIMES SAL;
𒊠;122A0;CUNEIFORM SIGN SAG TIMES SHID;
𒊡;122A1;CUNEIFORM SIGN SAG TIMES TAB;
𒊢;122A2;CUNEIFORM SIGN SAG TIMES U2;
𒊣;122A3;CUNEIFORM SIGN SAG TIMES UB;
𒊤;122A4;CUNEIFORM SIGN SAG TIMES UM;
𒊥;122A5;CUNEIFORM SIGN SAG TIMES UR;
𒊦;122A6;CUNEIFORM SIGN SAG TIMES USH;
𒊧;122A7;CUNEIFORM SIGN SAG OVER SAG;
𒊨;122A8;CUNEIFORM SIGN SAG GUNU;
𒊩;122A9;CUNEIFORM SIGN SAL;
𒊪;122AA;CUNEIFORM SIGN SAL LAGAB TIMES ASH2;
𒊫;122AB;CUNEIFORM SIGN SANGA2;
𒊬;122AC;CUNEIFORM SIGN SAR;
𒊭;122AD;CUNEIFORM SIGN SHA;
𒊮;122AE;CUNEIFORM SIGN SHA3;
𒊯;122AF;CUNEIFORM SIGN SHA3 TIMES A;
𒊰;122B0;CUNEIFORM SIGN SHA3 TIMES BAD;
𒊱;122B1;CUNEIFORM SIGN SHA3 TIMES GISH;
𒊲;122B2;CUNEIFORM SIGN SHA3 TIMES NE;
𒊳;122B3;CUNEIFORM SIGN SHA3 TIMES SHU2;
𒊴;122B4;CUNEIFORM SIGN SHA3 TIMES TUR;
𒊵;122B5;CUNEIFORM SIGN SHA3 TIMES U;
𒊶;122B6;CUNEIFORM SIGN SHA3 TIMES U PLUS A;
𒊷;122B7;CUNEIFORM SIGN SHA6;
𒊸;122B8;CUNEIFORM SIGN SHAB6;
𒊹;122B9;CUNEIFORM SIGN SHAR2;
𒊺;122BA;CUNEIFORM SIGN SHE;
𒊻;122BB;CUNEIFORM SIGN SHE HU;
𒊼;122BC;CUNEIFORM SIGN SHE OVER SHE GAD OVER GAD GAR OVER GAR;
𒊽;122BD;CUNEIFORM SIGN SHE OVER SHE TAB OVER TAB GAR OVER GAR;
𒊾;122BE;CUNEIFORM SIGN SHEG9;
𒊿;122BF;CUNEIFORM SIGN SHEN;
𒋀;122C0;CUNEIFORM SIGN SHESH;
𒋁;122C1;CUNEIFORM SIGN SHESH2;
𒋂;122C2;CUNEIFORM SIGN SHESHLAM;
𒋃;122C3;CUNEIFORM SIGN SHID;
𒋄;122C4;CUNEIFORM SIGN SHID TIMES A;
𒋅;122C5;CUNEIFORM SIGN SHID TIMES IM;
𒋆;122C6;CUNEIFORM SIGN SHIM;
𒋇;122C7;CUNEIFORM SIGN SHIM TIMES A;
𒋈;122C8;CUNEIFORM SIGN SHIM TIMES BAL;
𒋉;122C9;CUNEIFORM SIGN SHIM TIMES BULUG;
𒋊;122CA;CUNEIFORM SIGN SHIM TIMES DIN;
𒋋;122CB;CUNEIFORM SIGN SHIM TIMES GAR;
𒋌;122CC;CUNEIFORM SIGN SHIM TIMES IGI;
𒋍;122CD;CUNEIFORM SIGN SHIM TIMES IGI GUNU;
𒋎;122CE;CUNEIFORM SIGN SHIM TIMES KUSHU2;
𒋏;122CF;CUNEIFORM SIGN SHIM TIMES LUL;
𒋐;122D0;CUNEIFORM SIGN SHIM TIMES MUG;
𒋑;122D1;CUNEIFORM SIGN SHIM TIMES SAL;
𒋒;122D2;CUNEIFORM SIGN SHINIG;
𒋓;122D3;CUNEIFORM SIGN SHIR;
𒋔;122D4;CUNEIFORM SIGN SHIR TENU;
𒋕;122D5;CUNEIFORM SIGN SHIR OVER SHIR BUR OVER BUR;
𒋖;122D6;CUNEIFORM SIGN SHITA;
𒋗;122D7;CUNEIFORM SIGN SHU;
𒋘;122D8;CUNEIFORM SIGN SHU OVER INVERTED SHU;
𒋙;122D9;CUNEIFORM SIGN SHU2;
𒋚;122DA;CUNEIFORM SIGN SHUBUR;
𒋛;122DB;CUNEIFORM SIGN SI;
𒋜;122DC;CUNEIFORM SIGN SI GUNU;
𒋝;122DD;CUNEIFORM SIGN SIG;
𒋞;122DE;CUNEIFORM SIGN SIG4;
𒋟;122DF;CUNEIFORM SIGN SIG4 OVER SIG4 SHU2;
𒋠;122E0;CUNEIFORM SIGN SIK2;
𒋡;122E1;CUNEIFORM SIGN SILA3;
𒋢;122E2;CUNEIFORM SIGN SU;
𒋣;122E3;CUNEIFORM SIGN SU OVER SU;
𒋤;122E4;CUNEIFORM SIGN SUD;
𒋥;122E5;CUNEIFORM SIGN SUD2;
𒋦;122E6;CUNEIFORM SIGN SUHUR;
𒋧;122E7;CUNEIFORM SIGN SUM;
𒋨;122E8;CUNEIFORM SIGN SUMASH;
𒋩;122E9;CUNEIFORM SIGN SUR;
𒋪;122EA;CUNEIFORM SIGN SUR9;
𒋫;122EB;CUNEIFORM SIGN TA;
𒋬;122EC;CUNEIFORM SIGN TA ASTERISK;
𒋭;122ED;CUNEIFORM SIGN TA TIMES HI;
𒋮;122EE;CUNEIFORM SIGN TA TIMES MI;
𒋯;122EF;CUNEIFORM SIGN TA GUNU;
𒋰;122F0;CUNEIFORM SIGN TAB;
𒋱;122F1;CUNEIFORM SIGN TAB OVER TAB NI OVER NI DISH OVER DISH;
𒋲;122F2;CUNEIFORM SIGN TAB SQUARED;
𒋳;122F3;CUNEIFORM SIGN TAG;
𒋴;122F4;CUNEIFORM SIGN TAG TIMES BI;
𒋵;122F5;CUNEIFORM SIGN TAG TIMES GUD;
𒋶;122F6;CUNEIFORM SIGN TAG TIMES SHE;
𒋷;122F7;CUNEIFORM SIGN TAG TIMES SHU;
𒋸;122F8;CUNEIFORM SIGN TAG TIMES TUG2;
𒋹;122F9;CUNEIFORM SIGN TAG TIMES UD;
𒋺;122FA;CUNEIFORM SIGN TAK4;
𒋻;122FB;CUNEIFORM SIGN TAR;
𒋼;122FC;CUNEIFORM SIGN TE;
𒋽;122FD;CUNEIFORM SIGN TE GUNU;
𒋾;122FE;CUNEIFORM SIGN TI;
𒋿;122FF;CUNEIFORM SIGN TI TENU;
𒌀;12300;CUNEIFORM SIGN TIL;
𒌁;12301;CUNEIFORM SIGN TIR;
𒌂;12302;CUNEIFORM SIGN TIR TIMES TAK4;
𒌃;12303;CUNEIFORM SIGN TIR OVER TIR;
𒌄;12304;CUNEIFORM SIGN TIR OVER TIR GAD OVER GAD GAR OVER GAR;
𒌅;12305;CUNEIFORM SIGN TU;
𒌆;12306;CUNEIFORM SIGN TUG2;
𒌇;12307;CUNEIFORM SIGN TUK;
𒌈;12308;CUNEIFORM SIGN TUM;
𒌉;12309;CUNEIFORM SIGN TUR;
𒌊;1230A;CUNEIFORM SIGN TUR OVER TUR ZA OVER ZA;
𒌋;1230B;CUNEIFORM SIGN U;
𒌌;1230C;CUNEIFORM SIGN U GUD;
𒌍;1230D;CUNEIFORM SIGN U U U;
𒌎;1230E;CUNEIFORM SIGN U OVER U PA OVER PA GAR OVER GAR;
𒌏;1230F;CUNEIFORM SIGN U OVER U SUR OVER SUR;
𒌐;12310;CUNEIFORM SIGN U OVER U U REVERSED OVER U REVERSED;
𒌑;12311;CUNEIFORM SIGN U2;
𒌒;12312;CUNEIFORM SIGN UB;
𒌓;12313;CUNEIFORM SIGN UD;
𒌔;12314;CUNEIFORM SIGN UD KUSHU2;
𒌕;12315;CUNEIFORM SIGN UD TIMES BAD;
𒌖;12316;CUNEIFORM SIGN UD TIMES MI;
𒌗;12317;CUNEIFORM SIGN UD TIMES U PLUS U PLUS U;
𒌘;12318;CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU;
𒌙;12319;CUNEIFORM SIGN UD GUNU;
𒌚;1231A;CUNEIFORM SIGN UD SHESHIG;
𒌛;1231B;CUNEIFORM SIGN UD SHESHIG TIMES BAD;
𒌜;1231C;CUNEIFORM SIGN UDUG;
𒌝;1231D;CUNEIFORM SIGN UM;
𒌞;1231E;CUNEIFORM SIGN UM TIMES LAGAB;
𒌟;1231F;CUNEIFORM SIGN UM TIMES ME PLUS DA;
𒌠;12320;CUNEIFORM SIGN UM TIMES SHA3;
𒌡;12321;CUNEIFORM SIGN UM TIMES U;
𒌢;12322;CUNEIFORM SIGN UMBIN;
𒌣;12323;CUNEIFORM SIGN UMUM;
𒌤;12324;CUNEIFORM SIGN UMUM TIMES KASKAL;
𒌥;12325;CUNEIFORM SIGN UMUM TIMES PA;
𒌦;12326;CUNEIFORM SIGN UN;
𒌧;12327;CUNEIFORM SIGN UN GUNU;
𒌨;12328;CUNEIFORM SIGN UR;
𒌩;12329;CUNEIFORM SIGN UR CROSSING UR;
𒌪;1232A;CUNEIFORM SIGN UR SHESHIG;
𒌫;1232B;CUNEIFORM SIGN UR2;
𒌬;1232C;CUNEIFORM SIGN UR2 TIMES A PLUS HA;
𒌭;1232D;CUNEIFORM SIGN UR2 TIMES A PLUS NA;
𒌮;1232E;CUNEIFORM SIGN UR2 TIMES AL;
𒌯;1232F;CUNEIFORM SIGN UR2 TIMES HA;
𒌰;12330;CUNEIFORM SIGN UR2 TIMES NUN;
𒌱;12331;CUNEIFORM SIGN UR2 TIMES U2;
𒌲;12332;CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH;
𒌳;12333;CUNEIFORM SIGN UR2 TIMES U2 PLUS BI;
𒌴;12334;CUNEIFORM SIGN UR4;
𒌵;12335;CUNEIFORM SIGN URI;
𒌶;12336;CUNEIFORM SIGN URI3;
𒌷;12337;CUNEIFORM SIGN URU;
𒌸;12338;CUNEIFORM SIGN URU TIMES A;
𒌹;12339;CUNEIFORM SIGN URU TIMES ASHGAB;
𒌺;1233A;CUNEIFORM SIGN URU TIMES BAR;
𒌻;1233B;CUNEIFORM SIGN URU TIMES DUN;
𒌼;1233C;CUNEIFORM SIGN URU TIMES GA;
𒌽;1233D;CUNEIFORM SIGN URU TIMES GAL;
𒌾;1233E;CUNEIFORM SIGN URU TIMES GAN2 TENU;
𒌿;1233F;CUNEIFORM SIGN URU TIMES GAR;
𒍀;12340;CUNEIFORM SIGN URU TIMES GU;
𒍁;12341;CUNEIFORM SIGN URU TIMES HA;
𒍂;12342;CUNEIFORM SIGN URU TIMES IGI;
𒍃;12343;CUNEIFORM SIGN URU TIMES IM;
𒍄;12344;CUNEIFORM SIGN URU TIMES ISH;
𒍅;12345;CUNEIFORM SIGN URU TIMES KI;
𒍆;12346;CUNEIFORM SIGN URU TIMES LUM;
𒍇;12347;CUNEIFORM SIGN URU TIMES MIN;
𒍈;12348;CUNEIFORM SIGN URU TIMES PA;
𒍉;12349;CUNEIFORM SIGN URU TIMES SHE;
𒍊;1234A;CUNEIFORM SIGN URU TIMES SIG4;
𒍋;1234B;CUNEIFORM SIGN URU TIMES TU;
𒍌;1234C;CUNEIFORM SIGN URU TIMES U PLUS GUD;
𒍍;1234D;CUNEIFORM SIGN URU TIMES UD;
𒍎;1234E;CUNEIFORM SIGN URU TIMES URUDA;
𒍏;1234F;CUNEIFORM SIGN URUDA;
𒍐;12350;CUNEIFORM SIGN URUDA TIMES U;
𒍑;12351;CUNEIFORM SIGN USH;
𒍒;12352;CUNEIFORM SIGN USH TIMES A;
𒍓;12353;CUNEIFORM SIGN USH TIMES KU;
𒍔;12354;CUNEIFORM SIGN USH TIMES KUR;
𒍕;12355;CUNEIFORM SIGN USH TIMES TAK4;
𒍖;12356;CUNEIFORM SIGN USHX;
𒍗;12357;CUNEIFORM SIGN USH2;
𒍘;12358;CUNEIFORM SIGN USHUMX;
𒍙;12359;CUNEIFORM SIGN UTUKI;
𒍚;1235A;CUNEIFORM SIGN UZ3;
𒍛;1235B;CUNEIFORM SIGN UZ3 TIMES KASKAL;
𒍜;1235C;CUNEIFORM SIGN UZU;
𒍝;1235D;CUNEIFORM SIGN ZA;
𒍞;1235E;CUNEIFORM SIGN ZA TENU;
𒍟;1235F;CUNEIFORM SIGN ZA SQUARED TIMES KUR;
𒍠;12360;CUNEIFORM SIGN ZAG;
𒍡;12361;CUNEIFORM SIGN ZAMX;
𒍢;12362;CUNEIFORM SIGN ZE2;
𒍣;12363;CUNEIFORM SIGN ZI;
𒍤;12364;CUNEIFORM SIGN ZI OVER ZI;
𒍥;12365;CUNEIFORM SIGN ZI3;
𒍦;12366;CUNEIFORM SIGN ZIB;
