‐;2010;HYPHEN;
⏪;23EA;BLACK LEFT-POINTING DOUBLE TRIANGLE;
⏫;23EB;BLACK UP-POINTING DOUBLE TRIANGLE;
⏬;23EC;BLACK DOWN-POINTING DOUBLE TRIANGLE;
⏭;23ED;BLACK RIGHT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR;
⏮;23EE;BLACK LEFT-POINTING DOUBLE TRIANGLE WITH VERTICAL BAR;
⏯;23EF;BLACK RIGHT-POINTING TRIANGLE WITH DOUBLE VERTICAL BAR;
⏰;23F0;ALARM CLOCK;
⏱;23F1;STOPWATCH;
⏲;23F2;TIMER CLOCK;
⏳;23F3;HOURGLASS WITH FLOWING SAND;
␀;2400;SYMBOL FOR NULL;
␁;2401;SYMBOL FOR START OF HEADING;
␂;2402;SYMBOL FOR START OF TEXT;
␃;2403;SYMBOL FOR END OF TEXT;
␄;2404;SYMBOL FOR END OF TRANSMISSION;
␅;2405;SYMBOL FOR ENQUIRY;
␆;2406;SYMBOL FOR ACKNOWLEDGE;
␇;2407;SYMBOL FOR BELL;
␈;2408;SYMBOL FOR BACKSPACE;
␉;2409;SYMBOL FOR HORIZONTAL TABULATION;
␊;240A;SYMBOL FOR LINE FEED;
␋;240B;SYMBOL FOR VERTICAL TABULATION;
␌;240C;SYMBOL FOR FORM FEED;
␍;240D;SYMBOL FOR CARRIAGE RETURN;
␎;240E;SYMBOL FOR SHIFT OUT;
␏;240F;SYMBOL FOR SHIFT IN;
␐;2410;SYMBOL FOR DATA LINK ESCAPE;
␑;2411;SYMBOL FOR DEVICE CONTROL ONE;
␒;2412;SYMBOL FOR DEVICE CONTROL TWO;
␓;2413;SYMBOL FOR DEVICE CONTROL THREE;
␔;2414;SYMBOL FOR DEVICE CONTROL FOUR;
␕;2415;SYMBOL FOR NEGATIVE ACKNOWLEDGE;
␖;2416;SYMBOL FOR SYNCHRONOUS IDLE;
␗;2417;SYMBOL FOR END OF TRANSMISSION BLOCK;
␘;2418;SYMBOL FOR CANCEL;
␙;2419;SYMBOL FOR END OF MEDIUM;
␚;241A;SYMBOL FOR SUBSTITUTE;
␛;241B;SYMBOL FOR ESCAPE;
␜;241C;SYMBOL FOR FILE SEPARATOR;
␝;241D;SYMBOL FOR GROUP SEPARATOR;
␞;241E;SYMBOL FOR RECORD SEPARATOR;
␟;241F;SYMBOL FOR UNIT SEPARATOR;
␠;2420;SYMBOL FOR SPACE;
␡;2421;SYMBOL FOR DELETE;
␢;2422;BLANK SYMBOL;
␣;2423;OPEN BOX;
␤;2424;SYMBOL FOR NEWLINE;
␥;2425;SYMBOL FOR DELETE FORM TWO;
␦;2426;SYMBOL FOR SUBSTITUTE FORM TWO;
⑀;2440;OCR HOOK;
⑁;2441;OCR CHAIR;
⑂;2442;OCR FORK;
⑃;2443;OCR INVERTED FORK;
⑄;2444;OCR BELT BUCKLE;
⑅;2445;OCR BOW TIE;
⑆;2446;OCR BRANCH BANK IDENTIFICATION;
⑇;2447;OCR AMOUNT OF CHECK;
⑈;2448;OCR DASH;
⑉;2449;OCR CUSTOMER ACCOUNT NUMBER;
⑊;244A;OCR DOUBLE BACKSLASH;
①;2460;CIRCLED DIGIT ONE;
②;2461;CIRCLED DIGIT TWO;
③;2462;CIRCLED DIGIT THREE;
④;2463;CIRCLED DIGIT FOUR;
⑤;2464;CIRCLED DIGIT FIVE;
⑥;2465;CIRCLED DIGIT SIX;
⑦;2466;CIRCLED DIGIT SEVEN;
⑧;2467;CIRCLED DIGIT EIGHT;
⑨;2468;CIRCLED DIGIT NINE;
⑩;2469;CIRCLED NUMBER TEN;
⑪;246A;CIRCLED NUMBER ELEVEN;
⑫;246B;CIRCLED NUMBER TWELVE;
⑬;246C;CIRCLED NUMBER THIRTEEN;
⑭;246D;CIRCLED NUMBER FOURTEEN;
⑮;246E;CIRCLED NUMBER FIFTEEN;
⑯;246F;CIRCLED NUMBER SIXTEEN;
⑰;2470;CIRCLED NUMBER SEVENTEEN;
⑱;2471;CIRCLED NUMBER EIGHTEEN;
⑲;2472;CIRCLED NUMBER NINETEEN;
⑳;2473;CIRCLED NUMBER TWENTY;
⑴;2474;PARENTHESIZED DIGIT ONE;
⑵;2475;PARENTHESIZED DIGIT TWO;
⑶;2476;PARENTHESIZED DIGIT THREE;
⑷;2477;PARENTHESIZED DIGIT FOUR;
⑸;2478;PARENTHESIZED DIGIT FIVE;
⑹;2479;PARENTHESIZED DIGIT SIX;
⑺;247A;PARENTHESIZED DIGIT SEVEN;
⑻;247B;PARENTHESIZED DIGIT EIGHT;
⑼;247C;PARENTHESIZED DIGIT NINE;
⑽;247D;PARENTHESIZED NUMBER TEN;
⑾;247E;PARENTHESIZED NUMBER ELEVEN;
⑿;247F;PARENTHESIZED NUMBER TWELVE;
⒀;2480;PARENTHESIZED NUMBER THIRTEEN;
⒁;2481;PARENTHESIZED NUMBER FOURTEEN;
⒂;2482;PARENTHESIZED NUMBER FIFTEEN;
⒃;2483;PARENTHESIZED NUMBER SIXTEEN;
⒄;2484;PARENTHESIZED NUMBER SEVENTEEN;
⒅;2485;PARENTHESIZED NUMBER EIGHTEEN;
⒆;2486;PARENTHESIZED NUMBER NINETEEN;
⒇;2487;PARENTHESIZED NUMBER TWENTY;
⒈;2488;DIGIT ONE FULL STOP;
⒉;2489;DIGIT TWO FULL STOP;
⒊;248A;DIGIT THREE FULL STOP;
⒋;248B;DIGIT FOUR FULL STOP;
⒌;248C;DIGIT FIVE FULL STOP;
⒍;248D;DIGIT SIX FULL STOP;
⒎;248E;DIGIT SEVEN FULL STOP;
⒏;248F;DIGIT EIGHT FULL STOP;
⒐;2490;DIGIT NINE FULL STOP;
⒑;2491;NUMBER TEN FULL STOP;
⒒;2492;NUMBER ELEVEN FULL STOP;
⒓;2493;NUMBER TWELVE FULL STOP;
⒔;2494;NUMBER THIRTEEN FULL STOP;
⒕;2495;NUMBER FOURTEEN FULL STOP;
⒖;2496;NUMBER FIFTEEN FULL STOP;
⒗;2497;NUMBER SIXTEEN FULL STOP;
⒘;2498;NUMBER SEVENTEEN FULL STOP;
⒙;2499;NUMBER EIGHTEEN FULL STOP;
⒚;249A;NUMBER NINETEEN FULL STOP;
⒛;249B;NUMBER TWENTY FULL STOP;
⒜;249C;PARENTHESIZED LATIN SMALL LETTER A;
⒝;249D;PARENTHESIZED LATIN SMALL LETTER B;
⒞;249E;PARENTHESIZED LATIN SMALL LETTER C;
⒟;249F;PARENTHESIZED LATIN SMALL LETTER D;
⒠;24A0;PARENTHESIZED LATIN SMALL LETTER E;
⒡;24A1;PARENTHESIZED LATIN SMALL LETTER F;
⒢;24A2;PARENTHESIZED LATIN SMALL LETTER G;
⒣;24A3;PARENTHESIZED LATIN SMALL LETTER H;
⒤;24A4;PARENTHESIZED LATIN SMALL LETTER I;
⒥;24A5;PARENTHESIZED LATIN SMALL LETTER J;
⒦;24A6;PARENTHESIZED LATIN SMALL LETTER K;
⒧;24A7;PARENTHESIZED LATIN SMALL LETTER L;
⒨;24A8;PARENTHESIZED LATIN SMALL LETTER M;
⒩;24A9;PARENTHESIZED LATIN SMALL LETTER N;
⒪;24AA;PARENTHESIZED LATIN SMALL LETTER O;
⒫;24AB;PARENTHESIZED LATIN SMALL LETTER P;
⒬;24AC;PARENTHESIZED LATIN SMALL LETTER Q;
⒭;24AD;PARENTHESIZED LATIN SMALL LETTER R;
⒮;24AE;PARENTHESIZED LATIN SMALL LETTER S;
⒯;24AF;PARENTHESIZED LATIN SMALL LETTER T;
⒰;24B0;PARENTHESIZED LATIN SMALL LETTER U;
⒱;24B1;PARENTHESIZED LATIN SMALL LETTER V;
⒲;24B2;PARENTHESIZED LATIN SMALL LETTER W;
⒳;24B3;PARENTHESIZED LATIN SMALL LETTER X;
⒴;24B4;PARENTHESIZED LATIN SMALL LETTER Y;
⒵;24B5;PARENTHESIZED LATIN SMALL LETTER Z;
Ⓐ;24B6;CIRCLED LATIN CAPITAL LETTER A;
Ⓑ;24B7;CIRCLED LATIN CAPITAL LETTER B;
Ⓒ;24B8;CIRCLED LATIN CAPITAL LETTER C;
Ⓓ;24B9;CIRCLED LATIN CAPITAL LETTER D;
Ⓔ;24BA;CIRCLED LATIN CAPITAL LETTER E;
Ⓕ;24BB;CIRCLED LATIN CAPITAL LETTER F;
Ⓖ;24BC;CIRCLED LATIN CAPITAL LETTER G;
Ⓗ;24BD;CIRCLED LATIN CAPITAL LETTER H;
Ⓘ;24BE;CIRCLED LATIN CAPITAL LETTER I;
Ⓙ;24BF;CIRCLED LATIN CAPITAL LETTER J;
Ⓚ;24C0;CIRCLED LATIN CAPITAL LETTER K;
Ⓛ;24C1;CIRCLED LATIN CAPITAL LETTER L;
Ⓜ;24C2;CIRCLED LATIN CAPITAL LETTER M;
Ⓝ;24C3;CIRCLED LATIN CAPITAL LETTER N;
Ⓞ;24C4;CIRCLED LATIN CAPITAL LETTER O;
Ⓟ;24C5;CIRCLED LATIN CAPITAL LETTER P;
Ⓠ;24C6;CIRCLED LATIN CAPITAL LETTER Q;
Ⓡ;24C7;CIRCLED LATIN CAPITAL LETTER R;
Ⓢ;24C8;CIRCLED LATIN CAPITAL LETTER S;
Ⓣ;24C9;CIRCLED LATIN CAPITAL LETTER T;
Ⓤ;24CA;CIRCLED LATIN CAPITAL LETTER U;
Ⓥ;24CB;CIRCLED LATIN CAPITAL LETTER V;
Ⓦ;24CC;CIRCLED LATIN CAPITAL LETTER W;
Ⓧ;24CD;CIRCLED LATIN CAPITAL LETTER X;
Ⓨ;24CE;CIRCLED LATIN CAPITAL LETTER Y;
Ⓩ;24CF;CIRCLED LATIN CAPITAL LETTER Z;
ⓐ;24D0;CIRCLED LATIN SMALL LETTER A;
ⓑ;24D1;CIRCLED LATIN SMALL LETTER B;
ⓒ;24D2;CIRCLED LATIN SMALL LETTER C;
ⓓ;24D3;CIRCLED LATIN SMALL LETTER D;
ⓔ;24D4;CIRCLED LATIN SMALL LETTER E;
ⓕ;24D5;CIRCLED LATIN SMALL LETTER F;
ⓖ;24D6;CIRCLED LATIN SMALL LETTER G;
ⓗ;24D7;CIRCLED LATIN SMALL LETTER H;
ⓘ;24D8;CIRCLED LATIN SMALL LETTER I;
ⓙ;24D9;CIRCLED LATIN SMALL LETTER J;
ⓚ;24DA;CIRCLED LATIN SMALL LETTER K;
ⓛ;24DB;CIRCLED LATIN SMALL LETTER L;
ⓜ;24DC;CIRCLED LATIN SMALL LETTER M;
ⓝ;24DD;CIRCLED LATIN SMALL LETTER N;
ⓞ;24DE;CIRCLED LATIN SMALL LETTER O;
ⓟ;24DF;CIRCLED LATIN SMALL LETTER P;
ⓠ;24E0;CIRCLED LATIN SMALL LETTER Q;
ⓡ;24E1;CIRCLED LATIN SMALL LETTER R;
ⓢ;24E2;CIRCLED LATIN SMALL LETTER S;
ⓣ;24E3;CIRCLED LATIN SMALL LETTER T;
ⓤ;24E4;CIRCLED LATIN SMALL LETTER U;
ⓥ;24E5;CIRCLED LATIN SMALL LETTER V;
ⓦ;24E6;CIRCLED LATIN SMALL LETTER W;
ⓧ;24E7;CIRCLED LATIN SMALL LETTER X;
ⓨ;24E8;CIRCLED LATIN SMALL LETTER Y;
ⓩ;24E9;CIRCLED LATIN SMALL LETTER Z;
⓪;24EA;CIRCLED DIGIT ZERO;
⓫;24EB;NEGATIVE CIRCLED NUMBER ELEVEN;
⓬;24EC;NEGATIVE CIRCLED NUMBER TWELVE;
⓭;24ED;NEGATIVE CIRCLED NUMBER THIRTEEN;
⓮;24EE;NEGATIVE CIRCLED NUMBER FOURTEEN;
⓯;24EF;NEGATIVE CIRCLED NUMBER FIFTEEN;
⓰;24F0;NEGATIVE CIRCLED NUMBER SIXTEEN;
⓱;24F1;NEGATIVE CIRCLED NUMBER SEVENTEEN;
⓲;24F2;NEGATIVE CIRCLED NUMBER EIGHTEEN;
⓳;24F3;NEGATIVE CIRCLED NUMBER NINETEEN;
⓴;24F4;NEGATIVE CIRCLED NUMBER TWENTY;
⓵;24F5;DOUBLE CIRCLED DIGIT ONE;
⓶;24F6;DOUBLE CIRCLED DIGIT TWO;
⓷;24F7;DOUBLE CIRCLED DIGIT THREE;
⓸;24F8;DOUBLE CIRCLED DIGIT FOUR;
⓹;24F9;DOUBLE CIRCLED DIGIT FIVE;
⓺;24FA;DOUBLE CIRCLED DIGIT SIX;
⓻;24FB;DOUBLE CIRCLED DIGIT SEVEN;
⓼;24FC;DOUBLE CIRCLED DIGIT EIGHT;
⓽;24FD;DOUBLE CIRCLED DIGIT NINE;
⓾;24FE;DOUBLE CIRCLED NUMBER TEN;
⓿;24FF;NEGATIVE CIRCLED DIGIT ZERO;
─;2500;BOX DRAWINGS LIGHT HORIZONTAL;
━;2501;BOX DRAWINGS HEAVY HORIZONTAL;
│;2502;BOX DRAWINGS LIGHT VERTICAL;
┃;2503;BOX DRAWINGS HEAVY VERTICAL;
┄;2504;BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL;
┅;2505;BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL;
┆;2506;BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL;
┇;2507;BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL;
┈;2508;BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL;
┉;2509;BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL;
┊;250A;BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL;
┋;250B;BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL;
┌;250C;BOX DRAWINGS LIGHT DOWN AND RIGHT;
┍;250D;BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY;
┎;250E;BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT;
┏;250F;BOX DRAWINGS HEAVY DOWN AND RIGHT;
┐;2510;BOX DRAWINGS LIGHT DOWN AND LEFT;
┑;2511;BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY;
┒;2512;BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT;
┓;2513;BOX DRAWINGS HEAVY DOWN AND LEFT;
└;2514;BOX DRAWINGS LIGHT UP AND RIGHT;
┕;2515;BOX DRAWINGS UP LIGHT AND RIGHT HEAVY;
┖;2516;BOX DRAWINGS UP HEAVY AND RIGHT LIGHT;
┗;2517;BOX DRAWINGS HEAVY UP AND RIGHT;
┘;2518;BOX DRAWINGS LIGHT UP AND LEFT;
┙;2519;BOX DRAWINGS UP LIGHT AND LEFT HEAVY;
┚;251A;BOX DRAWINGS UP HEAVY AND LEFT LIGHT;
┛;251B;BOX DRAWINGS HEAVY UP AND LEFT;
├;251C;BOX DRAWINGS LIGHT VERTICAL AND RIGHT;
┝;251D;BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY;
┞;251E;BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT;
┟;251F;BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT;
┠;2520;BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT;
┡;2521;BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY;
┢;2522;BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY;
┣;2523;BOX DRAWINGS HEAVY VERTICAL AND RIGHT;
┤;2524;BOX DRAWINGS LIGHT VERTICAL AND LEFT;
┥;2525;BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY;
┦;2526;BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT;
┧;2527;BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT;
┨;2528;BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT;
┩;2529;BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY;
┪;252A;BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY;
┫;252B;BOX DRAWINGS HEAVY VERTICAL AND LEFT;
┬;252C;BOX DRAWINGS LIGHT DOWN AND HORIZONTAL;
┭;252D;BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT;
┮;252E;BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT;
┯;252F;BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY;
┰;2530;BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT;
┱;2531;BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY;
┲;2532;BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY;
┳;2533;BOX DRAWINGS HEAVY DOWN AND HORIZONTAL;
┴;2534;BOX DRAWINGS LIGHT UP AND HORIZONTAL;
┵;2535;BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT;
┶;2536;BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT;
┷;2537;BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY;
┸;2538;BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT;
┹;2539;BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY;
┺;253A;BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY;
┻;253B;BOX DRAWINGS HEAVY UP AND HORIZONTAL;
┼;253C;BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL;
┽;253D;BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT;
┾;253E;BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT;
┿;253F;BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY;
╀;2540;BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT;
╁;2541;BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT;
╂;2542;BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT;
╃;2543;BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT;
╄;2544;BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT;
╅;2545;BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT;
╆;2546;BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT;
╇;2547;BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY;
╈;2548;BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY;
╉;2549;BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY;
╊;254A;BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY;
╋;254B;BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL;
╌;254C;BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL;
╍;254D;BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL;
╎;254E;BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL;
╏;254F;BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL;
═;2550;BOX DRAWINGS DOUBLE HORIZONTAL;
║;2551;BOX DRAWINGS DOUBLE VERTICAL;
╒;2552;BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE;
╓;2553;BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE;
╔;2554;BOX DRAWINGS DOUBLE DOWN AND RIGHT;
╕;2555;BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE;
╖;2556;BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE;
╗;2557;BOX DRAWINGS DOUBLE DOWN AND LEFT;
╘;2558;BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE;
╙;2559;BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE;
╚;255A;BOX DRAWINGS DOUBLE UP AND RIGHT;
╛;255B;BOX DRAWINGS UP SINGLE AND LEFT DOUBLE;
╜;255C;BOX DRAWINGS UP DOUBLE AND LEFT SINGLE;
╝;255D;BOX DRAWINGS DOUBLE UP AND LEFT;
╞;255E;BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE;
╟;255F;BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE;
╠;2560;BOX DRAWINGS DOUBLE VERTICAL AND RIGHT;
╡;2561;BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE;
╢;2562;BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE;
╣;2563;BOX DRAWINGS DOUBLE VERTICAL AND LEFT;
╤;2564;BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE;
╥;2565;BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE;
╦;2566;BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL;
╧;2567;BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE;
╨;2568;BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE;
╩;2569;BOX DRAWINGS DOUBLE UP AND HORIZONTAL;
╪;256A;BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE;
╫;256B;BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE;
╬;256C;BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL;
╭;256D;BOX DRAWINGS LIGHT ARC DOWN AND RIGHT;
╮;256E;BOX DRAWINGS LIGHT ARC DOWN AND LEFT;
╯;256F;BOX DRAWINGS LIGHT ARC UP AND LEFT;
╰;2570;BOX DRAWINGS LIGHT ARC UP AND RIGHT;
╱;2571;BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT;
╲;2572;BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT;
╳;2573;BOX DRAWINGS LIGHT DIAGONAL CROSS;
╴;2574;BOX DRAWINGS LIGHT LEFT;
╵;2575;BOX DRAWINGS LIGHT UP;
╶;2576;BOX DRAWINGS LIGHT RIGHT;
╷;2577;BOX DRAWINGS LIGHT DOWN;
╸;2578;BOX DRAWINGS HEAVY LEFT;
╹;2579;BOX DRAWINGS HEAVY UP;
╺;257A;BOX DRAWINGS HEAVY RIGHT;
╻;257B;BOX DRAWINGS HEAVY DOWN;
╼;257C;BOX DRAWINGS LIGHT LEFT AND HEAVY RIGHT;
╽;257D;BOX DRAWINGS LIGHT UP AND HEAVY DOWN;
╾;257E;BOX DRAWINGS HEAVY LEFT AND LIGHT RIGHT;
╿;257F;BOX DRAWINGS HEAVY UP AND LIGHT DOWN;
▀;2580;UPPER HALF BLOCK;
▁;2581;LOWER ONE EIGHTH BLOCK;
▂;2582;LOWER ONE QUARTER BLOCK;
▃;2583;LOWER THREE EIGHTHS BLOCK;
▄;2584;LOWER HALF BLOCK;
▅;2585;LOWER FIVE EIGHTHS BLOCK;
▆;2586;LOWER THREE QUARTERS BLOCK;
▇;2587;LOWER SEVEN EIGHTHS BLOCK;
█;2588;FULL BLOCK;
▉;2589;LEFT SEVEN EIGHTHS BLOCK;
▊;258A;LEFT THREE QUARTERS BLOCK;
▋;258B;LEFT FIVE EIGHTHS BLOCK;
▌;258C;LEFT HALF BLOCK;
▍;258D;LEFT THREE EIGHTHS BLOCK;
▎;258E;LEFT ONE QUARTER BLOCK;
▏;258F;LEFT ONE EIGHTH BLOCK;
▐;2590;RIGHT HALF BLOCK;
░;2591;LIGHT SHADE;
▒;2592;MEDIUM SHADE;
▓;2593;DARK SHADE;
▔;2594;UPPER ONE EIGHTH BLOCK;
▕;2595;RIGHT ONE EIGHTH BLOCK;
▖;2596;QUADRANT LOWER LEFT;
▗;2597;QUADRANT LOWER RIGHT;
▘;2598;QUADRANT UPPER LEFT;
▙;2599;QUADRANT UPPER LEFT AND LOWER LEFT AND LOWER RIGHT;
▚;259A;QUADRANT UPPER LEFT AND LOWER RIGHT;
▛;259B;QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER LEFT;
▜;259C;QUADRANT UPPER LEFT AND UPPER RIGHT AND LOWER RIGHT;
▝;259D;QUADRANT UPPER RIGHT;
▞;259E;QUADRANT UPPER RIGHT AND LOWER LEFT;
▟;259F;QUADRANT UPPER RIGHT AND LOWER LEFT AND LOWER RIGHT;
■;25A0;BLACK SQUARE;
□;25A1;WHITE SQUARE;
▢;25A2;WHITE SQUARE WITH ROUNDED CORNERS;
▣;25A3;WHITE SQUARE CONTAINING BLACK SMALL SQUARE;
▤;25A4;SQUARE WITH HORIZONTAL FILL;
▥;25A5;SQUARE WITH VERTICAL FILL;
▦;25A6;SQUARE WITH ORTHOGONAL CROSSHATCH FILL;
▧;25A7;SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL;
▨;25A8;SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL;
▩;25A9;SQUARE WITH DIAGONAL CROSSHATCH FILL;
▪;25AA;BLACK SMALL SQUARE;
▫;25AB;WHITE SMALL SQUARE;
▬;25AC;BLACK RECTANGLE;
▭;25AD;WHITE RECTANGLE;
▮;25AE;BLACK VERTICAL RECTANGLE;
▯;25AF;WHITE VERTICAL RECTANGLE;
▰;25B0;BLACK PARALLELOGRAM;
▱;25B1;WHITE PARALLELOGRAM;
▲;25B2;BLACK UP-POINTING TRIANGLE;
△;25B3;WHITE UP-POINTING TRIANGLE;
▴;25B4;BLACK UP-POINTING SMALL TRIANGLE;
▵;25B5;WHITE UP-POINTING SMALL TRIANGLE;
▶;25B6;BLACK RIGHT-POINTING TRIANGLE;
▷;25B7;WHITE RIGHT-POINTING TRIANGLE;
▸;25B8;BLACK RIGHT-POINTING SMALL TRIANGLE;
▹;25B9;WHITE RIGHT-POINTING SMALL TRIANGLE;
►;25BA;BLACK RIGHT-POINTING POINTER;
▻;25BB;WHITE RIGHT-POINTING POINTER;
▼;25BC;BLACK DOWN-POINTING TRIANGLE;
▽;25BD;WHITE DOWN-POINTING TRIANGLE;
▾;25BE;BLACK DOWN-POINTING SMALL TRIANGLE;
▿;25BF;WHITE DOWN-POINTING SMALL TRIANGLE;
◀;25C0;BLACK LEFT-POINTING TRIANGLE;
◁;25C1;WHITE LEFT-POINTING TRIANGLE;
◂;25C2;BLACK LEFT-POINTING SMALL TRIANGLE;
◃;25C3;WHITE LEFT-POINTING SMALL TRIANGLE;
◄;25C4;BLACK LEFT-POINTING POINTER;
◅;25C5;WHITE LEFT-POINTING POINTER;
◆;25C6;BLACK DIAMOND;
◇;25C7;WHITE DIAMOND;
◈;25C8;WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND;
◉;25C9;FISHEYE;
◊;25CA;LOZENGE;
○;25CB;WHITE CIRCLE;
◌;25CC;DOTTED CIRCLE;
◍;25CD;CIRCLE WITH VERTICAL FILL;
◎;25CE;BULLSEYE;
●;25CF;BLACK CIRCLE;
◐;25D0;CIRCLE WITH LEFT HALF BLACK;
◑;25D1;CIRCLE WITH RIGHT HALF BLACK;
◒;25D2;CIRCLE WITH LOWER HALF BLACK;
◓;25D3;CIRCLE WITH UPPER HALF BLACK;
◔;25D4;CIRCLE WITH UPPER RIGHT QUADRANT BLACK;
◕;25D5;CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK;
◖;25D6;LEFT HALF BLACK CIRCLE;
◗;25D7;RIGHT HALF BLACK CIRCLE;
◘;25D8;INVERSE BULLET;
◙;25D9;INVERSE WHITE CIRCLE;
◚;25DA;UPPER HALF INVERSE WHITE CIRCLE;
◛;25DB;LOWER HALF INVERSE WHITE CIRCLE;
◜;25DC;UPPER LEFT QUADRANT CIRCULAR ARC;
◝;25DD;UPPER RIGHT QUADRANT CIRCULAR ARC;
◞;25DE;LOWER RIGHT QUADRANT CIRCULAR ARC;
◟;25DF;LOWER LEFT QUADRANT CIRCULAR ARC;
◠;25E0;UPPER HALF CIRCLE;
◡;25E1;LOWER HALF CIRCLE;
◢;25E2;BLACK LOWER RIGHT TRIANGLE;
◣;25E3;BLACK LOWER LEFT TRIANGLE;
